Qty,Value,Device,Package,Parts,Description,PROD_ID,VALUE
1,,JP1E,JP1,JP2,JUMPER,,
2,,LEDCHIPLED_0805,CHIPLED_0805,LED1; LED2,LED,,
1,,PINHD-1X5/90,1X05/90,JP1,PIN HEADER,,
2,10k,R_0805,R0805,R3; R6,,,
1,16MHz,CRYSTALHC49S,HC49/S,Q1,CRYSTAL,,
4,1u,C_0806,R0805,C1; C2; C3; C4,,,
2,22p,C_0806,R0805,C5; C6,,,
6,470,R_0805,R0805,R1; R2; R4; R5; R7; R8,,,
1,ATMEGA328P,ATMEGA328_SMT,TQFP32-08,U1,32-Pin Atmega328 part,IC-09069,ATMEGA328P
1,AVR_SPI_PRG_6NS,AVR_SPI_PRG_6NS,2X3-NS,J,AVR ISP 6 Pin,,
1,FT232RL,FT232RLSSOP,SSOP28DB,IC1,USB UART,,
1,USB-MICROB,USB-MICROB,USB-MICROB,X1,USB Connectors,,
